id,lon,lat,highway
104,-122.714189,45.472568,"[3, 0, 0]"
105,-122.7154518,45.4725615,"[3, 0, 1]"
106,-122.7170845,45.4726042,"[1, 1, 1]"
107,-122.7268512,45.4728624,"[2, 0, 0]"
108,-122.7293785,45.4728959,"[3, 0, 0]"
109,-122.7305751,45.4728953,"[4, 0, 0]"
110,-122.7315256,45.4728993,"[3, 0, 0]"
111,-122.7317309,45.4728987,"[3, 0, 0]"
112,-122.7324939,45.4729016,"[3, 0, 0]"
113,-122.7328842,45.4728905,"[3, 0, 0]"
114,-122.7335013,45.4729624,"[4, 0, 0]"
115,-122.7385904,45.4731563,"[3, 0, 0]"
116,-122.7277131,45.4393986,"[0, 3, 0]"
117,-122.7280535,45.4392279,"[0, 4, 0]"
118,-122.731535,45.4821749,"[2, 0, 2]"
119,-122.7328401,45.4821849,"[3, 0, 1]"
120,-122.733472,45.482184,"[1, 0, 0]"
121,-122.7024407,45.4814492,"[2, 0, 0]"
122,-122.7008189,45.48146,"[2, 1, 0]"
123,-122.698608,45.481409,"[2, 1, 0]"
124,-122.6964793,45.4813925,"[3, 0, 0]"
125,-122.6656654,45.5482611,"[3, 0, 0]"
126,-122.6656813,45.549534,"[4, 0, 0]"
127,-122.6656952,45.550793,"[4, 0, 0]"
128,-122.6657002,45.5520549,"[4, 0, 0]"
129,-122.6657102,45.5533221,"[4, 0, 0]"
130,-122.6656876,45.554578,"[4, 0, 0]"
131,-122.665687,45.555532,"[4, 0, 0]"
132,-122.6656583,45.5563915,"[4, 0, 0]"
133,-122.6656322,45.5576531,"[4, 0, 0]"
134,-122.665614,45.5591039,"[3, 0, 0]"
135,-122.665877,45.5591025,"[3, 0, 0]"
136,-122.6658662,45.5605093,"[4, 0, 0]"
137,-122.6658582,45.5616384,"[4, 0, 0]"
138,-122.6658536,45.5627211,"[4, 0, 0]"
139,-122.6658437,45.5638849,"[4, 0, 0]"
140,-122.6658364,45.5651477,"[4, 0, 0]"
141,-122.6658316,45.5664321,"[4, 0, 0]"
142,-122.6658179,45.5677249,"[4, 0, 0]"
143,-122.6658066,45.568983,"[4, 0, 0]"
144,-122.665803,45.5699784,"[4, 0, 0]"
145,-122.6658,45.5718,"[4, 0, 0]"
146,-122.6658141,45.5725111,"[4, 0, 0]"
147,-122.6658211,45.5733074,"[4, 0, 0]"
148,-122.6658227,45.5744358,"[3, 0, 0]"
149,-122.4949761,45.4979163,"[3, 0, 0]"
150,-122.4938463,45.4979141,"[3, 0, 0]"
151,-122.4936265,45.497915,"[3, 0, 0]"
152,-122.4928984,45.4978548,"[3, 0, 0]"
153,-122.4920308,45.4974271,"[4, 0, 0]"
154,-122.4911318,45.4969377,"[4, 0, 0]"
155,-122.4904036,45.4965373,"[3, 0, 0]"
156,-122.4899302,45.4962713,"[3, 0, 0]"
157,-122.4853131,45.4983861,"[1, 0, 1]"
158,-122.4846793,45.4983838,"[3, 0, 0]"
159,-122.4846785,45.4981124,"[3, 0, 0]"
160,-122.4830855,45.498103,"[3, 0, 0]"
161,-122.4825999,45.4980975,"[2, 0, 0]"
162,-122.5764548,45.4819972,"[3, 0, 0]"
163,-122.5764285,45.480615,"[2, 2, 0]"
164,-122.5763616,45.4793956,"[3, 0, 0]"
165,-122.740696,45.4890662,"[3, 0, 0]"
166,-122.7407291,45.4895102,"[2, 0, 0]"
167,-122.7417409,45.489973,"[2, 0, 0]"
168,-122.6827529,45.5838214,"[3, 0, 0]"
169,-122.6847474,45.5838224,"[4, 0, 0]"
170,-122.6868678,45.5838178,"[3, 0, 0]"
171,-122.6890482,45.5838324,"[3, 0, 0]"
172,-122.697204,45.5839972,"[3, 0, 0]"
173,-122.6978694,45.5839981,"[2, 1, 0]"
174,-122.6984842,45.5839989,"[3, 0, 0]"
175,-122.6994652,45.5840002,"[4, 0, 0]"
176,-122.6999014,45.5840369,"[3, 0, 0]"
177,-122.7004403,45.584003,"[4, 0, 0]"
178,-122.701416,45.5840043,"[3, 0, 0]"
179,-122.7023948,45.5840075,"[4, 0, 0]"
180,-122.7026581,45.5840064,"[4, 0, 0]"
181,-122.7033701,45.5840064,"[3, 0, 0]"
182,-122.7043417,45.584007,"[3, 0, 0]"
183,-122.7053421,45.5840079,"[4, 0, 0]"
184,-122.7065885,45.5840101,"[4, 0, 0]"
185,-122.707927,45.5840131,"[4, 0, 0]"
186,-122.7091498,45.584011,"[4, 0, 0]"
187,-122.7102314,45.5840248,"[4, 0, 0]"
188,-122.711305,45.5840292,"[4, 0, 0]"
189,-122.7123836,45.584033,"[4, 0, 0]"
190,-122.713454,45.584038,"[4, 0, 0]"
191,-122.7145272,45.5840475,"[4, 0, 0]"
192,-122.7153604,45.5840908,"[4, 0, 0]"
193,-122.7163793,45.5840929,"[4, 0, 0]"
194,-122.7173896,45.5840845,"[4, 0, 0]"
195,-122.7184073,45.5840742,"[4, 0, 0]"
196,-122.719418,45.5840655,"[3, 0, 0]"
197,-122.7204232,45.5840586,"[3, 0, 0]"
198,-122.7214254,45.5840176,"[3, 0, 0]"
199,-122.6921503,45.5837733,"[3, 0, 0]"
200,-122.6948135,45.5837858,"[4, 0, 0]"
201,-122.6972064,45.5837864,"[3, 0, 0]"
202,-122.671844,45.5841212,"[0, 2, 0]"
203,-122.6723432,45.5841194,"[0, 2, 2]"
204,-122.7219189,45.584183,"[4, 0, 0]"
205,-122.722603,45.5844362,"[4, 0, 0]"
206,-122.7232905,45.584691,"[4, 0, 0]"
207,-122.7241614,45.5850149,"[4, 0, 0]"
208,-122.7250268,45.5853299,"[4, 0, 0]"
209,-122.7258945,45.585646,"[3, 0, 0]"
210,-122.7477947,45.5999764,"[3, 0, 0]"
211,-122.747539,45.6005387,"[3, 0, 0]"
212,-122.6791035,45.5056239,"[3, 0, 0]"
213,-122.6821534,45.5065044,"[3, 0, 0]"
214,-122.6862851,45.5092039,"[3, 0, 0]"
215,-122.687852,45.5104804,"[3, 0, 0]"
216,-122.6852991,45.5208772,"[0, 0, 4]"
217,-122.6857987,45.5226886,"[3, 0, 0]"
218,-122.686717,45.5263765,"[3, 0, 0]"
219,-122.6868059,45.5283266,"[2, 0, 0]"
220,-122.6860065,45.535432,"[3, 0, 0]"
221,-122.6784883,45.5416001,"[3, 0, 0]"
222,-122.6782012,45.5418586,"[3, 0, 0]"
