src,dst,weight,highway
102,103,79.991,residential
102,495,56.327,residential
102,494,129.353,residential
103,74085,27.095,service
104,40024,47.581,residential
105,61029,8.306,residential
105,63807,6.093,residential
105,61031,7.405,residential
105,63808,9.607,service
106,33128,37.773,residential
106,111,15.014,residential
106,33125,48.745,residential
106,107,162.32,residential
107,122,123.695,residential
107,113,14.412,residential
107,108,96.016,residential
108,58289,64.788,residential
108,109,78.847,residential
109,439,75.463,residential
109,65854,166.012,residential
110,537,89.67,tertiary
110,399,47.539,tertiary
110,65852,37.026,residential
111,112,64.304,residential
111,33146,68.133,residential
111,569,94.756,residential
112,113,96.8,residential
112,570,73.686,residential
113,121,85.956,residential
114,69377,3.875,residential
114,11380,304.241,residential
115,348,39.677,tertiary
115,116,92.165,residential
115,264,311.92400000000004,tertiary
116,117,38.14,residential
116,20481,357.55600000000004,residential
117,636,80.177,residential
117,14384,56.288,residential
118,119,374.866,residential
118,710,144.969,residential
118,560,85.797,residential
119,20386,15.898,cycleway
120,121,158.719,residential
120,742,95.851,residential
121,571,93.908,residential
122,39586,15.746,secondary
122,33087,76.886,secondary
123,124,56.637,residential
123,725,294.726,residential
123,554,115.543,tertiary
123,256,138.915,tertiary
124,125,93.081,residential
124,223,105.112,residential
125,222,137.385,residential
126,60116,9.042,tertiary
126,32701,17.437,tertiary
126,60117,11.719,residential
126,60120,9.995,residential
126,60118,10.561,residential
126,60119,9.874,residential
127,60119,184.968,residential
127,48425,234.606,path
127,11812,47.555,residential
128,129,8.354,cycleway
128,60108,139.65400000000002,cycleway
128,48420,108.113,path
129,11635,243.825,cycleway
129,60112,56.448,cycleway
129,60111,27.168,path
130,67042,156.817,residential
130,11159,112.133,secondary
130,52475,56.478,secondary
131,32722,42.102,secondary
131,32715,4.793,secondary
131,670,37.106,residential
132,65695,18.068,secondary
132,32722,60.328,secondary
132,353,68.775,residential
133,47886,82.39,secondary
133,65695,72.55000000000001,secondary
133,48881,110.962,service
134,32758,20.093,secondary
134,135,62.974,secondary
134,32353,80.952,residential
135,48999,94.122,service
135,49000,17.195,secondary
136,137,180.363,residential
136,416,106.881,secondary
136,340,101.339,secondary
138,139,76.86,residential
139,140,93.982,residential
139,418,103.706,residential
139,296,327.003,residential
140,141,103.864,residential
140,33007,296.76,residential
141,142,194.406,residential
141,325,135.51,residential
141,224,140.722,residential
142,57511,11.353,residential
142,32985,133.579,residential
143,63179,54.197,residential
143,65813,22.054,secondary
143,57510,58.80800000000001,secondary
144,48349,4.404,residential
144,24176,19.446,secondary
144,48348,7.113,secondary
145,22685,5.494,residential
145,24084,10.93,secondary
145,57391,11.226,secondary
146,47329,7.196,secondary
146,63172,2.339,secondary
146,63152,6.26,residential
147,63143,12.039,tertiary
147,63140,12.718,secondary
147,63149,11.136,tertiary
147,63148,9.811,secondary
148,149,142.451,secondary
148,52817,29.673,secondary
148,65817,121.581,residential
149,150,126.636,secondary
149,326,259.4,residential
150,151,56.085,secondary
150,327,248.797,residential
151,152,94.575,secondary
151,483,118.987,residential
152,153,79.856,secondary
152,328,249.124,residential
153,154,29.73,secondary
153,475,118.358,residential
154,42871,13.657,secondary
154,42866,49.852,residential
155,156,97.012,secondary
155,42867,61.206,secondary
155,825,350.721,residential
156,157,149.985,secondary
156,484,118.385,residential
156,527,418.896,tertiary
157,158,119.087,secondary
157,774,373.951,residential
158,68360,133.608,secondary
158,42862,63.569,unclassified
158,11559,307.998,unclassified
159,23784,29.98,secondary
160,161,102.556,secondary
161,60973,41.206,secondary
161,162,29.297,secondary
162,60974,86.42000000000002,secondary
163,60974,24.101,secondary
163,40845,497.252,secondary
164,40845,59.532,secondary
164,40850,111.238,secondary
164,48027,74.942,residential
165,40833,20.935,secondary
165,40823,38.08,secondary
165,699,42.18,tertiary
166,40837,62.437,secondary
166,23973,44.445,tertiary
166,41530,44.62,secondary
166,33480,462.289,tertiary
167,41533,61.007,residential
167,168,91.328,secondary
167,75422,638.201,secondary
168,52673,53.019,residential
168,11362,150.519,secondary
169,22628,607.3410000000001,residential
169,779,120.399,residential
169,11364,198.551,secondary
169,65699,91.762,secondary
170,721,132.446,residential
170,11364,212.381,secondary
171,172,105.947,residential
172,488,50.568,residential
172,415,85.079,residential
173,32619,198.651,residential
173,60111,55.569,service
173,34948,111.339,service
174,175,65.091,residential
174,34602,20.283,residential
174,39791,86.359,residential
175,176,78.894,residential
175,39789,149.23300000000003,residential
176,40369,9.909,secondary
176,193,116.953,secondary
177,71630,37.45,residential
177,71633,3.997,residential
178,71602,47.503,residential
178,71630,75.071,residential
178,71601,4.049,residential
179,180,27.817,residential
179,71602,20.929,residential
179,48243,189.044,residential
180,181,93.858,residential
180,71605,4.344,residential
181,40360,4.178,tertiary
181,753,57.698,tertiary
182,48098,8.299,secondary
182,1439,19.928,secondary
182,48100,23.562,trunk_link
182,48096,9.729,trunk_link
183,48268,486.473,residential
183,14225,39.895,secondary
183,48372,12.884,secondary
184,38296,24.73,residential
184,38299,59.111,secondary
184,185,130.8,secondary
185,72288,8.451,residential
185,72285,23.069,secondary
186,72279,23.49,residential
