src,dst,weight,highway
79,584,36.415,motorway_link
79,7873,107.373,motorway_link
79,43774,114.576,motorway_link
80,43848,324.407,motorway_link
80,9331,1087.186,motorway
80,234,516.387,motorway
81,43675,14.266,tertiary
81,31578,7.593,secondary
81,19803,9.648,tertiary
81,43674,11.505,secondary
82,6521,41.021,motorway_link
82,83,181.277,motorway_link
83,84,67.794,motorway_link
84,11547,70.51299999999999,motorway_link
85,20740,98.81,tertiary
85,6526,255.46,motorway_link
85,3060,145.451,primary
86,1880,95.901,residential
86,3415,95.832,residential
86,87,150.561,residential
86,19882,107.812,residential
87,3415,59.355,residential
87,7174,94.509,residential
88,43837,268.577,motorway_link
88,36905,427.081,motorway
88,36904,667.279,motorway
89,90,128.138,tertiary
89,38988,14.001,tertiary
89,36925,31.151,tertiary
89,31846,12.18,motorway_link
90,10779,30.897,secondary
90,36928,31.487,secondary
91,1521,329.206,motorway
91,1522,148.986,motorway
92,27733,7.249,service
92,93,67.73,residential
92,27751,208.805,residential
93,94,26.209,residential
94,9174,143.654,residential
94,9115,48.098,residential
94,9149,50.445,residential
95,96,177.71599999999998,motorway_link
95,29415,161.222,motorway_link
96,2251,163.303,motorway
96,2250,369.762,motorway
97,19809,9.303,tertiary
97,43670,7.0920000000000005,secondary
97,19358,11.761,secondary
97,43669,11.914,tertiary
98,155,485.462,motorway
98,9330,1162.2910000000002,motorway
98,20879,645.862,motorway_link
99,127,9.856,primary
99,1980,41.348,secondary
99,29232,10.11,motorway_link
100,23885,6.383,residential
100,26782,8.91,residential
100,23871,9.109,residential
100,12464,9.343,residential
101,9180,65.953,residential
101,23941,119.649,residential
102,103,23.091,service
102,9785,11.297,residential
102,41567,49.718,secondary
102,4536,154.777,secondary
104,137,9.192,tertiary
104,105,358.888,motorway_link
104,37042,123.888,tertiary
105,5985,9.909,motorway
105,5984,220.745,motorway
106,107,51.697,primary_link
106,14518,18.655,primary_link
106,14486,55.871,primary_link
107,7147,172.17000000000002,primary_link
107,14536,14.91,primary_link
108,6369,76.27,motorway_link
108,43762,37.484,motorway_link
109,14073,15.501,tertiary
109,110,378.09,motorway_link
109,23427,10.651,secondary
110,179,94.177,motorway
110,43779,430.512,motorway
111,13699,13.361,residential
111,203,292.076,residential
111,4231,84.748,residential
111,12975,112.89400000000002,cycleway
112,1517,1045.09,motorway
112,6376,1261.75,motorway
112,6852,470.02,motorway_link
113,41541,9.897,motorway_link
113,37744,61.38,tertiary
113,5566,48.647,secondary
113,41554,11.443,motorway_link
114,239,173.35,motorway
114,115,475.0079999999999,motorway
114,41541,239.511,motorway_link
115,116,189.733,motorway_link
116,41554,49.472,motorway_link
117,44823,16.607,secondary
117,44821,16.634,motorway_link
117,44907,83.969,motorway_link
118,193,57.899,tertiary
118,20842,52.986,residential
119,17299,50.766,residential
119,17301,15.778,residential
119,17379,8.945,service
120,17361,8.975,residential
120,17295,94.759,residential
120,17359,7.216,residential
121,148,51.831,motorway
121,155,719.779,motorway
121,17911,259.313,motorway_link
122,4607,222.599,residential
122,11278,66.733,residential
122,5098,68.884,residential
122,4080,200.208,residential
123,11210,52.329,residential
124,316,72.161,tertiary
124,317,52.665,tertiary
125,43775,261.035,motorway_link
125,215,744.096,motorway
125,199,484.396,motorway
126,29215,11.687,motorway_link
126,29219,21.036,primary
126,4153,30.074,primary
126,29220,14.862,motorway_link
127,29231,9.995,motorway_link
127,5832,60.477,primary
128,247,671.392,motorway
128,5831,466.304,motorway
128,5833,433.198,motorway_link
129,11521,286.242,motorway_link
129,42893,92.049,secondary
129,27992,7.395,secondary
130,27996,68.709,motorway_link
130,36893,277.65600000000006,motorway_link
131,5820,258.071,motorway_link
131,5828,53.258,motorway_link
131,18300,91.39,motorway_link
132,35721,5.203,tertiary
132,10880,46.076,residential
133,1522,77.182,motorway_link
133,43840,112.768,motorway_link
134,43840,123.892,motorway_link
134,6846,32.912,motorway_link
134,6859,42.604,motorway_link
135,30785,48.182,residential
135,48261,13.685,residential
135,30787,6.106,residential
136,7369,23.561,primary
136,18014,8.48,primary
136,7371,10.922,primary
136,31346,7.185,primary
137,4568,129.654,tertiary
137,46492,64.28999999999999,motorway_link
138,43855,95.813,motorway
138,139,281.915,motorway_link
138,2358,685.741,motorway
139,140,118.719,motorway_link
140,180,16.51,residential
140,141,13.771,motorway_link
140,2460,95.049,residential
141,36237,74.05799999999999,residential
141,158,14.085,residential
141,183,83.246,tertiary
142,13691,13.911,primary_link
142,4560,6.823,tertiary
142,4559,40.618,tertiary
143,44038,113.07,motorway_link
143,7537,211.234,motorway_link
143,32845,226.841,motorway_link
144,31562,3.097,footway
144,31561,4.92,motorway_link
144,15663,10.503,footway
144,6723,10.65,motorway_link
145,7849,74.47,motorway_link
145,6133,37.615,tertiary
145,6134,33.705,tertiary
146,8059,715.2499999999999,motorway_link
146,7537,248.89300000000003,motorway_link
146,7849,195.583,motorway_link
147,18012,25.622,primary
147,4206,49.476,residential
147,43844,130.43200000000002,motorway_link
148,43850,244.191,motorway_link
148,8070,332.769,motorway
149,576,72.26599999999999,secondary
149,575,99.144,tertiary
149,43850,129.849,motorway_link
150,15215,7.482,service
150,14078,19.327,tertiary
150,14073,35.538,tertiary
151,15215,118.615,service
151,14035,59.76,service
151,20454,14.312,service
152,2525,8.849,secondary
152,15604,7.492,secondary
152,15601,8.871,secondary
152,22374,9.563,secondary
153,44219,135.515,motorway_link
153,5991,218.996,motorway
153,5990,8.986,motorway
154,226,10.294,tertiary
154,13402,129.137,tertiary
154,44219,61.395,motorway_link
155,43836,228.377,motorway_link
156,4536,188.517,secondary
156,5535,162.647,secondary
156,3652,188.489,primary_link
157,1334,39.825,residential
157,11514,164.979,motorway_link
157,1333,44.684,residential
158,183,86.202,tertiary
158,180,11.167,motorway_link
158,43873,117.049,motorway_link
159,160,55.286,primary_link
159,14519,20.552,primary_link
159,7146,210.537,primary_link
160,14488,60.963,primary_link
160,3648,15.457,primary_link
161,44488,8.322,secondary
161,14512,7.863,primary_link
161,12888,10.862,primary_link
161,14522,10.864,secondary
162,44013,536.871,motorway_link
162,1524,1012.406,motorway
162,1525,1016.133,motorway
163,22133,14.437,residential
163,6164,107.055,motorway_link
163,7881,17.942,residential
163,1098,19.866,secondary
163,24411,21.221,secondary
164,9324,134.824,motorway_link
164,9320,226.021,motorway_link
165,2259,580.547,motorway
165,2258,788.4540000000001,motorway
165,27802,267.499,motorway_link
166,27802,10.605,motorway_link
166,27751,8.537,residential
166,4965,58.427,tertiary
166,12467,12.186,tertiary
167,17292,50.318,residential
167,17344,8.05,service
167,17347,9.346,service
167,5713,75.094,residential
168,20961,46.435,secondary
168,20962,42.37,secondary_link
168,169,18.006,secondary
169,11528,400.582,motorway_link
169,14251,34.581,secondary
170,44899,25.17,secondary
170,42853,53.63,secondary
171,42854,10.741,service
171,14248,69.90700000000001,secondary
171,42851,90.224,secondary
172,19157,8.285,residential
172,14913,74.659,tertiary
172,6090,154.405,tertiary
173,174,77.191,residential
173,19288,17.1,service
173,6100,130.852,residential
175,6942,53.555,tertiary
175,4290,42.58,tertiary
175,41540,10.783,motorway_link
176,4053,131.769,residential
176,4052,157.894,residential
176,8230,50.016,residential
177,3186,269.732,secondary
177,29172,41.305,residential
177,20877,552.367,motorway_link
177,29179,28.734,primary
178,179,285.33000000000004,motorway_link
178,7162,19.489,residential
178,20468,19.411,residential
179,5986,234.002,motorway
180,44039,141.725,motorway_link
181,1519,200.131,motorway
182,7843,396.936,motorway
182,40042,81.851,motorway
183,36231,34.784,tertiary
183,11378,131.928,service
184,43105,6.693,secondary
184,2022,84.722,secondary
185,12462,7.147,motorway_link
185,9320,609.3059999999998,motorway_link
186,21034,6.583,tertiary
186,44778,4.201,residential
186,22264,34.794,tertiary
186,22530,12.263,service
187,43763,359.857,motorway_link
187,2253,385.467,motorway
187,2252,145.199,motorway
188,189,9.863,service
188,9991,51.223,residential
188,9969,49.565,residential
188,3570,132.957,residential
189,22691,32.661,service
190,361,109.355,residential
190,20863,9.785,secondary
190,8942,58.417,secondary
190,20862,9.239,residential
191,25093,8.429,residential
191,13468,9.844,residential
191,25088,8.93,residential
192,25132,100.165,residential
192,8935,54.727,residential
193,32860,78.611,secondary
193,7324,110.444,motorway_link
194,195,97.427,motorway_link
194,29251,144.47899999999998,motorway_link
195,196,109.055,motorway_link
196,197,102.009,motorway_link
197,44199,65.009,motorway_link
198,35865,38.036,motorway_link
198,29348,47.55,motorway_link
198,44199,150.865,motorway_link
199,2248,353.881,motorway
199,42059,419.191,motorway_link
200,201,95.557,service
200,5700,102.365,residential
200,41740,126.366,residential
202,43764,172.908,motorway_link
202,1528,625.739,motorway
202,6941,120.188,motorway
203,12964,14.694,residential
203,12982,41.27,service
204,12982,47.249,service
205,13185,25.756,residential
205,13687,19.448,residential
205,13192,34.504,residential
206,13189,66.397,residential
206,13689,12.333,residential
206,13163,55.302,residential
206,18564,38.377,service
207,44335,21.349,tertiary
207,2410,101.327,tertiary
207,11504,43.79900000000001,motorway_link
208,5884,31.668,residential
209,44478,35.052,secondary
209,210,342.627,motorway_link
209,44021,60.336,residential
210,7537,810.6249999999999,motorway
210,5989,29.567,motorway
211,43854,333.31300000000005,motorway_link
211,6154,409.031,motorway
211,2244,1013.669,motorway
212,227,97.958,tertiary
212,23122,18.192,tertiary
212,43854,92.573,motorway_link
213,214,129.019,tertiary
213,5548,97.528,secondary
213,36927,26.537,secondary
214,36924,31.05,tertiary
214,38986,10.79,tertiary
214,31842,10.65,tertiary
215,2249,123.059,motorway
215,29215,350.97900000000004,motorway_link
216,36069,111.553,secondary
216,249,24.485,secondary
216,217,219.906,motorway_link
217,5992,101.603,motorway
217,248,332.517,motorway
218,5855,53.977,service
218,13382,67.74,residential
219,31345,8.775,footway
219,18006,28.929,primary
